"Address","Status Code","Status","Inlinks","Matched Robots.txt Line"
"https://twitter.com/intent/tweet?url=https://www.therecoveryvillage.com/editorial/nanci-stockwell","0","Blocked by robots.txt","1","Line:16 /*?"
"https://actaspsiquiatria.es/repositorio/14/78/ENG/14-78-ENG-187-197-904379.pdf","0","Blocked by robots.txt","2","Line:4 /repositorio/"
"https://twitter.com/intent/tweet?url=https://www.therecoveryvillage.com/editorial/kate-dube","0","Blocked by robots.txt","1","Line:16 /*?"
"https://www.facebook.com/share.php?u=https://www.therecoveryvillage.com/editorial/kate-dube","0","Blocked by robots.txt","1","Line:306 /share.php"
"https://www.facebook.com/share.php?u=https://www.therecoveryvillage.com/editorial/erika-krull","0","Blocked by robots.txt","1","Line:306 /share.php"
"https://twitter.com/intent/tweet?url=https://www.therecoveryvillage.com/editorial/erika-krull","0","Blocked by robots.txt","1","Line:16 /*?"
"https://twitter.com/intent/tweet?url=https://www.therecoveryvillage.com/editorial/benjamin-caleb-williams","0","Blocked by robots.txt","1","Line:16 /*?"
"https://www.facebook.com/share.php?u=https://www.therecoveryvillage.com/editorial/benjamin-caleb-williams","0","Blocked by robots.txt","1","Line:306 /share.php"
"https://books.google.com/books?hl=en&lr=&id=60ULZwrGWEwC&oi=fnd&pg=PR5&dq=therapy+modalities+for+addiction+rebt&ots=W480iFLmBz&sig=gWEezmXfYmrrDH6srRFlXYXTZCI","0","Blocked by robots.txt","2","Line:59 /books?*pg=*"
"https://www.hhs.gov/about/agencies/asl/testimony/2017-03/fentanyl-next-wave-opioid-crisis.html?language=es","0","Blocked by robots.txt","1","Line:128 /*language=*"
