"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/page/19/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/5/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/17/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/3/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/29/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-the-cdc-has-to-say-about-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/37/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/15/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/35/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/27/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/13/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/25/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/9/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/fr/blog/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/7/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/world-health-day-what-sleep-tips-the-who-recommends/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/22/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/44/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/34/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/12/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/42/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/20/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/32/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/40/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/10/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/30/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/4/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/18/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/28/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/2/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/38/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/gift","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/page/26/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/16/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/fr/cadeau/","text/html","200","OK","Non-Indexable","noindex"
"https://www.bettersleep.com/ja/partners/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/es/duerme-mejor/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/fr/sommeil/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/sleep-better/bedtime-stories/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/pt/durma_melhor/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/ru/partners/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/how-covid-19-is-affecting-our-rest-and-what-we-can-do-to-sleep-better-relax-melodies/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meditating-with-adhd/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/meditation/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/sound/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/what-to-know-about-fever-dreams/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://onelink.bettersleep.com/YXAm?pid=web&c=web&af_js_web=true","application/octet-stream","302","Found","Non-Indexable","Redirected"
"https://www.bettersleep.com/blog/your-guide-to-amazing-cuddles/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sounds/","text/html","200","OK","Indexable",""
"https://onelink.bettersleep.com/iqF4?pid=web&c=web&af_js_web=true","application/octet-stream","302","Found","Non-Indexable","Redirected"
"https://www.bettersleep.com/blog/why-do-babies-cry-in-their-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/your-mattress-questions-answered/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/sleep","text/html","301","Moved Permanently","Non-Indexable","Redirected"
"https://www.bettersleep.com/blog/news/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/waking-up-thirsty/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/relaxation/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/dream-dive-bears/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-stay-focused-while-studying/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/5-benefits-of-stretching-in-the-morning/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/sonidos-para-dormir/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/es/blog/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/relajacion-y-meditacion/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/es/partners/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/fr/meditationpourdormir/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/sleep-sounds/nature-sounds-to-fall-asleep/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/sleep-sounds/white-noises/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/pt/sons-para-dormir/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/blog/what-are-circadian-rhythms/","text/html","200","OK","Non-Indexable","Canonicalised"
