"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.columbusrecoverycenter.com/treatment-programs/partial-hospitalization/","Success","","18","3930.000","18528.473","10168.000","23909.500","4323.500","0.001","2513990","20637","199","3631942","59566","6","1170617","23","214893","41","1942745","111","230984","6","0","0","13137","12","2253740","125","","","","","","2778","2700","1650","0","0","0","450","2670","3750","450","0","6189","0","0","0","8100","34545","10 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/springfield/","Success","","34","3090.000","8939.827","4526.000","19918.500","1489.000","0.046","801441","7144","171","2629518","57364","7","319457","13","118218","30","1988584","103","132070","5","0","0","13825","13","2144478","135","","","","","","1123","1090","0","0","0","0","190","2420","150","0","0","2171","0","0","0","1240","34369","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","Success","","25","4198.500","9604.189","5367.000","19904.000","2322.500","0.000","863526","6679","177","2722037","57093","7","321034","13","188587","36","1989383","103","152114","5","0","0","13826","13","2168535","136","","","","","","1847","280","0","0","0","0","300","2010","0","0","0","2242","0","0","0","280","34370","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/treatment-programs/","Success","","26","3630.000","8053.189","6136.000","20722.500","1793.000","0.000","1247609","8159","201","3032550","61294","6","642107","24","215151","41","1856234","111","244636","7","0","0","13128","12","2051841","127","","","","","","2566","1800","0","0","0","0","730","2200","580","0","0","283","0","0","0","2380","34405","7 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","Success","","35","3090.000","8401.549","4130.000","19645.500","2088.500","0.021","802053","6101","171","2630170","57418","7","319298","13","118219","30","1989342","103","132070","5","0","0","13823","13","2145074","135","","","","","","1073","130","0","70","0","0","370","2380","130","0","0","1948","0","0","0","330","34369","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/treatment-programs/aftercare/","Success","","21","3930.000","15304.305","12754.000","22571.000","1656.000","0.000","2620564","21173","198","3685017","60098","6","1223309","22","214876","41","1942621","111","230983","6","0","0","13130","12","2269508","125","","","","","","2876","3000","2400","0","0","0","750","2840","4350","900","0","4057","0","0","0","9750","34545","10 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/treatment-programs/residential-rehabilitation/","Success","","24","3240.000","8368.069","7070.000","22305.000","1856.500","0.087","1649424","10755","200","3374970","59906","6","913528","24","214929","41","1942477","111","230984","6","0","0","13146","12","2253461","125","","","","","","2138","2630","0","0","0","0","750","2640","1730","600","0","267","0","0","0","4360","34546","10 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/online-terms-conditions-use/","Success","","39","3090.000","7558.495","4118.000","16797.500","1405.500","0.000","770978","6457","157","2306023","56175","6","295990","12","118218","30","1690438","92","132070","5","0","0","13132","12","1820427","121","","","","","","1297","1500","0","0","0","0","150","1650","150","0","0","1710","0","0","0","1650","34369","6 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/veterans/","Success","","35","3090.000","8769.718","4236.000","18038.000","1738.000","0.069","854836","7552","157","2343251","53382","6","347472","13","118219","30","1690969","92","120093","4","0","0","13116","12","1808975","120","","","","","","1287","1480","0","150","0","0","150","2280","90","0","0","2115","0","0","0","1720","34371","7 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/continuing-education/","Success","","31","3930.000","10984.415","4126.000","22811.500","2448.500","0.006","930927","9454","205","3007616","55818","6","367648","16","211209","40","2062103","118","297383","11","0","0","13455","14","2198670","140","","","","","","2853","1090","0","150","0","0","600","2510","160","0","0","2091","0","0","0","1400","34760","6 resources found","5 elements found"
