"Address","Status Code","Title 1","Indexability","Indexability Status","Clicks","Impressions","CTR","Position"
"https://www.bettersleep.com/blog/why-do-babies-cry-in-their-sleep/","200","Why Do Babies Cry in Their Sleep? | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/your-mattress-questions-answered/","200","Your Mattress Questions Answered | BetterSleep","Non-Indexable","Canonicalised","2","88","0.023","38.610"
"https://www.bettersleep.com/blog/sleep/","200","Sleep","Indexable","","0","29","0.000","9.100"
"https://www.bettersleep.com/blog/news/","200","News","Indexable","","0","28","0.000","12.250"
"https://www.bettersleep.com/blog/sleep","301","","Non-Indexable","Redirected","0","29","0.000","9.100"
"https://www.bettersleep.com/blog/waking-up-thirsty/","200","Waking up Thirsty | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/relaxation/","200","Relaxation","Indexable","","0","42","0.000","20.310"
"https://www.bettersleep.com/blog/how-to-stay-focused-while-studying/","200","How to Stay Focused While Studying | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/5-benefits-of-stretching-in-the-morning/","200","5 Benefits of Stretching In The Morning | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/dream-dive-bears/","200","Dream Dive: Bears | BetterSleep","Non-Indexable","Canonicalised","1","114","0.009","49.900"
"https://www.bettersleep.com/blog/page/41/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/43/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/21/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/31/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/breaking-down-binaural-beats/","200","Breaking Down Binaural Beats | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/23/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/11/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/33/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/6/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/8/","200","BetterSleep Blog","Non-Indexable","Canonicalised","0","18","0.000","2.170"
"https://www.bettersleep.com/blog/page/14/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/36/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/24/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/16/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/38/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/26/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/18/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/2/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/28/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/4/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/30/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/10/","200","BetterSleep Blog","Non-Indexable","Canonicalised","0","4","0.000","4.250"
"https://www.bettersleep.com/blog/page/40/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/32/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/20/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/42/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/12/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/34/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/22/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/44/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/world-health-day-what-sleep-tips-the-who-recommends/","200","World Health Day: What sleep tips the WHO recommends | BetterSleep","Non-Indexable","Canonicalised","0","14","0.000","37.070"
"https://www.bettersleep.com/fr/blog/","200","Blog de BetterSleep","Non-Indexable","Canonicalised","0","44","0.000","9.050"
"https://www.bettersleep.com/blog/page/7/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/9/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/25/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/13/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/35/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/pt/blog/","200","Blog BetterSleep","Non-Indexable","Canonicalised","0","6","0.000","8.670"
"https://www.bettersleep.com/blog/page/15/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/27/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/37/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/3/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/what-the-cdc-has-to-say-about-sleep/","200","What the CDC Has to Say About Sleep | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/29/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/39/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/17/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/19/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/page/5/","200","BetterSleep Blog","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/pt/sons-para-dormir/","200","Sons para dormir: componha suas próprias melodias para dormir | BetterSleep","Indexable","","8","937","0.009","12.550"
"https://www.bettersleep.com/sleep-sounds/nature-sounds-to-fall-asleep/","200","Nature sounds to fall asleep | BetterSleep","Indexable","","2","353","0.006","38.080"
"https://www.bettersleep.com/fr/meditationpourdormir/","200","Méditation pour dormir : Évitez l'insomnie et dormez mieux | BetterSleep","Indexable","","487","58247","0.008","12.140"
"https://www.bettersleep.com/sleep-sounds/white-noises/","200","What Are the Best White Noise Sounds for Sleep? Benefits and How It Works | BetterSleep","Indexable","","476","40712","0.012","19.620"
"https://www.bettersleep.com/blog/what-are-circadian-rhythms/","200","What Are Circadian Rhythms and How Do They Affect Sleep? | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/how-much-sleep-do-you-actually-need/","200","How Much Sleep Do You Actually Need? | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","200","Bedtime Stories for Adults to Help You Fall Asleep | BetterSleep","Non-Indexable","Canonicalised","140","5182","0.027","23.310"
"https://my.bettersleep.com/meditations/sleeptherapydeepcalm/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/easingmindawareness/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/bodyscanbedtime/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/innervoyage/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/blog/a-quick-guide-to-chakra-meditation/","200","A Quick Guide to Chakra Meditation | BetterSleep","Non-Indexable","Canonicalised","0","236","0.000","48.420"
"https://my.bettersleep.com/meditations/gettingsleepquicker/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/tropicalmoonlight/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/sleepintocreativity/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/japanesemoonbreathing/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/blog/meditation","301","","Non-Indexable","Redirected","1","14","0.071","32.360"
"https://my.bettersleep.com/meditations/healinggrief/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/lovingkindnesssingle/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/meditationforchange/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/relaxingvisualization/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/meditationfortrauma/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/blog/how-to-use-healing-meditation-for-sleep/","200","How to Use Healing Meditation For Sleep | BetterSleep","Non-Indexable","Canonicalised","0","133","0.000","52.140"
"https://my.bettersleep.com/meditations/sohum/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/stressandanxietyb/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/gratitudesingle/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/glowingcompassion/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://my.bettersleep.com/meditations/sosdestress/play","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/blog/little-ones-and-naps/","200","Little Ones and Naps | BetterSleep","Non-Indexable","Canonicalised","","","",""
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","200","Técnicas de relaxamento e meditação para ajudar no seu sono | BetterSleep","Indexable","","12","2374","0.005","27.920"
"https://www.bettersleep.com/cdn-cgi/l/email-protection","200","Email Protection | Cloudflare","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/pt/partners/","200","BetterSleep Partners","Indexable","","0","22","0.000","8.910"
"https://www.bettersleep.com/fr/partners/","200","BetterSleep Partenaires","Indexable","","0","51","0.000","20.310"
"https://www.bettersleep.com/fr/techniquesderelaxation/","200","21 Techniques faciles pour la gestion du stress | BetterSleep","Indexable","","104","5855","0.018","38.220"
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","200","Technique of Breathing : A Way to Relaxation | BetterSleep","Indexable","","2","454","0.004","70.040"
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","200","Tinnitus Meditation: Get Relief Through Guided Meditation and Sounds | BetterSleep","Indexable","","10","1238","0.008","16.090"
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","200","Introduction To Meditation: A Beginner’s Guide | BetterSleep","Indexable","","0","43","0.000","64.210"
"https://my.bettersleep.com/signin","200","BetterSleep","Non-Indexable","noindex","","","",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","200","Lucid Dream Meditation: Get Control of Your Night | BetterSleep","Indexable","","315","14907","0.021","31.130"
