"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://twitter.com/BetterSleepFR","text/html; charset=utf-8","200","OK","Indexable","","18","0.063","",""
"https://www.bettersleep.com/img/thank_you_bird.png","image/png","200","OK","Indexable","","0","0.296","",""
"https://www.ipnos.com/?lang=fr","text/html; charset=UTF-8","200","OK","Indexable","","18","0.347","",""
"https://www.youtube.com/c/BetterSleepFrançais","text/html; charset=utf-8","200","OK","Indexable","","18","0.092","",""
"https://www.ipnos.com/conditions-dutilisation/?lang=fr","text/html; charset=UTF-8","200","OK","Indexable","","18","0.359","",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","text/html","200","OK","Indexable","","7","0.125","",""
"https://www.ipnos.com/politique-de-vie-privee/?lang=fr","text/html; charset=UTF-8","200","OK","Indexable","","54","0.455","",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","text/html","200","OK","Indexable","","7","0.162","",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","text/html","200","OK","Indexable","","7","0.161","",""
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","text/html","200","OK","Indexable","","7","0.154","",""
"https://www.instagram.com/bettersleep_br/","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","36","0.079","https://www.instagram.com/accounts/login/?next=/bettersleep_br/","HTTP Redirect"
"https://www.youtube.com/channel/UCuCJm2HbsL7l9zOwQ3sgdQA","text/html; charset=utf-8","200","OK","Indexable","","36","0.075","",""
"https://twitter.com/BetterSleepBR","text/html; charset=utf-8","200","OK","Indexable","","36","0.065","",""
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","text/html","200","OK","Indexable","","24","0.165","",""
"https://www.facebook.com/BetterSleepFr","text/html; charset=""utf-8""","200","OK","Indexable","","18","0.576","",""
"https://www.bettersleep.com/fr/partners/","text/html","200","OK","Indexable","","30","0.103","",""
"https://www.facebook.com/BetterSleepBR","text/html; charset=""utf-8""","200","OK","Indexable","","36","0.189","",""
"https://www.bettersleep.com/blog/fall-asleep-easily-with-bedtime-stories-for-adults/","text/html","200","OK","Non-Indexable","Canonicalised","6","0.254","",""
"https://my.bettersleep.com/meditations/sosdestress/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.128","",""
"https://my.bettersleep.com/meditations/gratitudesingle/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.114","",""
"https://my.bettersleep.com/meditations/glowingcompassion/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.219","",""
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.196","",""
"https://my.bettersleep.com/meditations/sohum/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.101","",""
"https://www.bettersleep.com/blog/little-ones-and-naps/","text/html","200","OK","Non-Indexable","Canonicalised","6","0.116","",""
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.117","",""
"https://my.bettersleep.com/meditations/stressandanxietyb/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.194","",""
"https://my.bettersleep.com/meditations/meditationfortrauma/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.196","",""
"https://www.bettersleep.com/pt/partners/","text/html","200","OK","Indexable","","48","0.207","",""
"https://my.bettersleep.com/meditations/meditationforchange/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.135","",""
"https://my.bettersleep.com/meditations/lovingkindnesssingle/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.116","",""
"https://my.bettersleep.com/meditations/relaxingvisualization/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.215","",""
"https://www.bettersleep.com/blog/meditation","text/html","301","Moved Permanently","Non-Indexable","Redirected","52","0.129","https://www.bettersleep.com/blog/meditation/","HTTP Redirect"
"https://my.bettersleep.com/meditations/healinggrief/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.137","",""
"https://www.bettersleep.com/blog/how-to-use-healing-meditation-for-sleep/","text/html","200","OK","Non-Indexable","Canonicalised","57","0.153","",""
"https://my.bettersleep.com/meditations/tropicalmoonlight/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.120","",""
"https://my.bettersleep.com/meditations/gettingsleepquicker/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.120","",""
"https://my.bettersleep.com/meditations/japanesemoonbreathing/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","4","0.217","",""
"https://my.bettersleep.com/meditations/sleepintocreativity/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.215","",""
"https://my.bettersleep.com/meditations/bodyscanbedtime/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.109","",""
"https://my.bettersleep.com/meditations/easingmindawareness/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.123","",""
"https://my.bettersleep.com/meditations/innervoyage/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.204","",""
"https://my.bettersleep.com/meditations/sleeptherapydeepcalm/play","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","2","0.128","",""
"https://www.bettersleep.com/blog/a-quick-guide-to-chakra-meditation/","text/html","200","OK","Non-Indexable","Canonicalised","9","0.187","",""
"https://www.bettersleep.com/blog/page/39/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.129","",""
"https://www.bettersleep.com/blog/page/19/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.154","",""
"https://www.bettersleep.com/blog/page/5/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.173","",""
"https://play.google.com/store/apps/details?id=ipnossoft.rma.free&hl=en_CA&gl=US&shortlink=3838ada3&c=landing%20page%20play%20store&pid=rm_web&deep_link_value=relaxmelodies://","text/html; charset=utf-8","200","OK","Indexable","","0","0.136","",""
"https://www.bettersleep.com/blog/page/17/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.164","",""
"https://www.bettersleep.com/blog/page/3/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.159","",""
"https://www.bettersleep.com/blog/page/29/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.171","",""
"https://www.bettersleep.com/blog/what-the-cdc-has-to-say-about-sleep/","text/html","200","OK","Non-Indexable","Canonicalised","9","0.167","",""
"https://www.bettersleep.com/blog/page/37/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.267","",""
"https://www.bettersleep.com/blog/page/15/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.188","",""
"https://www.bettersleep.com/blog/page/35/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.160","",""
"https://www.bettersleep.com/pt/blog/","text/html","200","OK","Non-Indexable","Canonicalised","244","0.176","",""
"https://www.bettersleep.com/blog/page/27/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.269","",""
"https://www.bettersleep.com/blog/page/13/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.127","",""
"https://www.bettersleep.com/blog/page/25/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.163","",""
"https://www.bettersleep.com/blog/page/9/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.129","",""
"https://www.bettersleep.com/fr/blog/","text/html","200","OK","Non-Indexable","Canonicalised","166","0.118","",""
"https://www.bettersleep.com/blog/page/7/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.179","",""
"https://www.bettersleep.com/blog/world-health-day-what-sleep-tips-the-who-recommends/","text/html","200","OK","Non-Indexable","Canonicalised","7","0.255","",""
"https://www.bettersleep.com/blog/page/22/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.189","",""
"https://www.bettersleep.com/blog/page/44/","text/html","200","OK","Non-Indexable","Canonicalised","47","0.270","",""
"https://www.bettersleep.com/blog/page/34/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.190","",""
"https://www.bettersleep.com/blog/page/12/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.217","",""
"https://www.bettersleep.com/blog/page/42/","text/html","200","OK","Non-Indexable","Canonicalised","48","0.168","",""
