"Crawl Overview Report by the Screaming Frog SEO Spider (11.3)"
"Site Crawled","https://clubs.scholastic.com/lego-8-brick-storage-box/40061730-T-rco-us.html"
"Date","Sunday, Jun 7, 2020"
"Time","18:50:42 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"Sequence Error","0","0.00%","545","Internal HTML pages with 2xx response"
""
"Directives"
"All","545","100.00%","545","Internal URLs with 2xx response"
"Index","0","0.00%","545","Internal URLs with 2xx response"
"Noindex","0","0.00%","545","Internal URLs with 2xx response"
"Follow","0","0.00%","545","Internal URLs with 2xx response"
"Nofollow","0","0.00%","545","Internal URLs with 2xx response"
"None","0","0.00%","545","Internal URLs with 2xx response"
"NoArchive","0","0.00%","545","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","545","Internal URLs with 2xx response"
"NoODP","0","0.00%","545","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","545","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","545","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","545","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","545","Internal URLs with 2xx response"
"Refresh","0","0.00%","545","Internal HTML pages with 2xx response"
""
"Hreflang"
"All","545","100.00%","545","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","545","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","545","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","545","Internal pages with 2xx response"
"Missing Confirmation Links","0","0.00%","545","Internal pages with 2xx response"
"Inconsistent Language & Region Confirmation Links","0","0.00%","545","Internal pages with 2xx response"
"Non-Canonical Confirmation Links","0","0.00%","545","Internal pages with 2xx response"
"Noindex Confirmation Links","0","0.00%","545","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","545","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","545","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","545","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","545","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","545","Internal pages with 2xx response"
"Missing","0","0.00%","545","Internal pages with 2xx response"
""
"AJAX"
"All","0","0.00%","0","Internal pages crawled in escaped fragment form"
"With Hash Fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
"Without Hash Fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","0","Internal AMP URLs"
"Non-Confirming Canonical","0","0.00%","0","Internal AMP URLs"
"Missing Non-AMP Canonical","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","545","100.00%","545","Structured Data in URL"
"Contains Structured Data","542","99.45%","545","Structured Data in URL"
"Missing","3","0.55%","545","Structured Data in URL"
"Validation Errors","542","99.45%","545","Structured Data in URL"
"Validation Warnings","542","99.45%","545","Structured Data in URL"
"Parse Errors","0","0.00%","545","Structured Data in URL"
"Microdata URLs","542","99.45%","545","Structured Data in URL"
"JSON-LD URLs","542","99.45%","545","Structured Data in URL"
"RDFa URLs","0","0.00%","545","Structured Data in URL"
""
"Sitemaps"
"All","944","100.00%","944","Internal HTML/XML pages"
