"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.bettersleep.com/pt/","Success","","60","3180.000","3311.334","5355.000","8221.000","321.000","0.018","277170","2002","33","920956","192359","1","9182","4","0","0","419379","13","260854","4","0","0","39182","11","460190","27","","","","","","0","0","0","0","0","0","0","1800","0","0","0","202","0","0","0","0","25069","","1 element found"
"https://my.bettersleep.com/redeem","Success","","19","3558.000","13206.498","14881.000","31663.500","2799.500","0.054","4507447","26919","99","5211707","7971","4","1174461","6","88107","4","3668823","37","131138","2","0","0","141207","46","1591721","58","","","","","","2328","3790","2210","0","0","3410","750","5850","4990","3450","0","141","0","0","0","10990","24965","","1 element found"
"https://www.bettersleep.com/bettersleep-faq/","Success","","72","1342.000","2669.596","3930.000","7788.000","356.000","0.094","322391","2397","38","855434","102868","1","10839","6","0","0","507690","16","195000","3","0","0","39037","12","547354","31","","","","","","0","0","0","0","0","0","0","2250","0","0","0","147","0","0","0","0","25036","1 resource found","5 elements found"
"https://www.bettersleep.com/for-work/","Success","","26","2880.000","6541.948","6950.000","13929.000","8677.000","0.059","1574296","6636","47","2451703","118289","1","1397195","13","0","0","507622","16","390018","6","0","0","38579","11","546836","30","","","","","","0","0","0","0","0","0","0","1340","5120","0","0","176","0","0","0","5120","25033","","1 element found"
"https://www.bettersleep.com/partners/","Success","","16","5569.000","12041.002","14655.000","20739.000","12237.000","0.059","2929626","3832","36","2624792","852241","1","1096334","7","0","0","506360","15","131276","2","0","0","38581","11","548391","32","","","","","","0","0","1120","0","0","0","0","1200","1120","0","0","392","0","0","0","2240","25069","","1 element found"
"https://my.bettersleep.com/redirect/register","Success","","18","3444.000","16129.405","15578.000","31617.000","5274.000","0.055","3826721","20425","99","5225585","7466","4","1174425","6","88161","4","3677642","36","131154","2","0","0","146737","47","1600751","58","Fail","2450.000","17.000","8993.000","0.020","2214","2740","1500","0","150","450","450","5550","3990","3300","0","81","0","0","0","8230","24973","","1 element found"
"https://www.bettersleep.com/fr/","Success","","69","1813.000","2452.957","4830.000","8120.000","292.500","0.014","277650","2162","33","920783","192369","1","8712","3","0","0","419378","13","260852","4","0","0","39472","12","460001","27","","1471.000","37.000","","0.000","0","0","0","0","0","0","0","1950","0","0","0","212","0","0","0","0","25069","","1 element found"
"https://www.bettersleep.com/relaxation-meditation/","Success","","62","1645.000","3118.252","5361.500","7670.000","420.000","0.095","355311","2625","41","887901","110261","1","101558","12","0","0","506225","15","131276","2","0","0","38581","11","547063","30","","","","","","0","150","0","0","0","0","0","2250","0","0","0","225","0","0","0","150","25019","6 resources found","5 elements found"
"https://my.bettersleep.com/gift","Success","","19","3514.000","15091.091","23505.000","39057.000","2720.000","0.047","5069092","27593","97","6772849","12796","6","1174439","6","88174","4","5227990","38","131133","2","0","0","138317","41","3060432","62","","","","","","2284","2700","1050","0","150","750","900","5940","3990","9750","0","79","0","0","0","7740","25080","","1 element found"
"https://www.bettersleep.com/fr/cadeau/","Success","","31","2104.000","5902.079","7476.000","10166.000","6623.000","0.057","353786","1039","37","861453","103675","1","80035","7","0","0","506988","15","131284","2","0","0","39471","12","548566","31","","","","","","0","0","0","0","0","0","0","840","0","0","0","199","0","0","0","0","25035","1 resource found","1 element found"
"https://www.bettersleep.com/es/duerme-mejor/","Success","","61","1552.000","2969.824","6116.500","7637.500","422.000","0.016","332324","2423","37","853088","108415","1","68240","7","0","0","505938","15","131288","2","0","0","39207","12","546924","30","","","","","","0","150","0","0","0","0","0","2100","0","0","0","173","0","0","0","150","25018","3 resources found","1 element found"
"https://www.bettersleep.com/fr/sommeil/","Success","","66","1980.000","2777.788","4680.000","7974.500","411.500","0.016","340759","2432","60","1041767","132410","1","168925","30","0","0","506284","15","194667","3","0","0","39481","11","548022","30","","","","","","0","0","0","0","0","0","0","2250","0","0","0","182","0","0","0","0","25072","26 resources found","1 element found"
