"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/page/21/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/31/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/breaking-down-binaural-beats/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/23/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/11/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/33/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/6/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/8/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/14/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/36/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/24/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/16/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/38/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/26/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/18/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/2/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/28/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/4/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/30/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/10/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/40/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/32/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/20/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/page/42/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
