"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://www.epl.ca/blogs/post/moving-sitting-and-sleeping-for-optimal-health-in-young-people/","text/html; charset=UTF-8","200","OK","5","2"
"https://archive.curbed.com/2018/3/28/17164898/bed-in-a-box-online-mattress-brands-why-so-many","text/html; charset=utf-8","200","OK","5","2"
"https://www.scientificamerican.com/article/be-mine-forever-oxytocin/","text/html; charset=utf-8","200","OK","5","2"
"https://pubmed.ncbi.nlm.nih.gov/15282995/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://sleep.biomedcentral.com/articles/10.1186/s41606-017-0009-4","text/html; charset=""UTF-8""","200","OK","5","5"
"https://academic.oup.com/sleep/article/37/9/1553/2416992","text/html","403","Forbidden","5","2"
"https://www.mindbodygreen.com/0-7531/full-moon-harness-the-energy-make-it-work-for-you.html","text/html; charset=utf-8","200","OK","5","2"
"https://www.psychologytoday.com/us/conditions/nightmares","text/html; charset=iso-8859-1","403","Forbidden","5","2"
"https://www.researchgate.net/publication/342562977_A_Brief_History_of_the_Chakras_in_Human_Body","text/html; charset=utf-8","200","OK","5","2"
"https://www.sciencedaily.com/releases/2018/11/181127111044.htm","text/html","200","OK","5","2"
"https://www.insider.com/surprising-new-years-eve-facts-2019-12","text/html; charset=utf-8","200","OK","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661116/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.cdc.gov/sleep/about_sleep/chronic_disease.html","text/html","200","OK","4","2"
"https://online.alvernia.edu/program-resources/behavioral-health-vs-mental-health/","text/html; charset=UTF-8","200","OK","5","2"
"https://pubmed.ncbi.nlm.nih.gov/26144285/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://oceanservice.noaa.gov/facts/fish-sleep.html","text/html","200","OK","5","2"
"https://pubmed.ncbi.nlm.nih.gov/29073401/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://psycnet.apa.org/doiLanding?doi=10.1037%2Fa0019596","text/html; charset=UTF-8","200","OK","5","2"
"https://psycnet.apa.org/record/2008-13989-015","text/html; charset=UTF-8","200","OK","5","2"
"https://jcsm.aasm.org/doi/10.5664/jcsm.6952","text/html; charset=utf-8","302","Found","5","4"
"https://www.uclahealth.org/sleepcenter/coping-with-shift-work","text/html;charset=UTF-8","200","OK","5","2"
"http://healthysleep.med.harvard.edu/need-sleep/what-can-you-do/good-sleep-habits","text/html; charset=UTF-8","200","OK","5","4"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6418017/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.jneurosci.org/content/35/31/11034.short","text/html; charset=utf-8","200","OK","5","2"
"https://thepleasantdream.com/dreaming-of-birds/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.thebump.com/a/baby-sleep-too-much","text/html; charset=utf-8","200","OK","5","2"
"https://www.tandfonline.com/doi/abs/10.1300/J004v24n01_05","text/html; charset=utf-8","302","Found","5","6"
"https://www.unicef.org/parenting/child-development/how-music-affects-your-babys-brain-class","text/html; charset=UTF-8","200","OK","5","2"
"https://my.clevelandclinic.org/health/diseases/21974-sleep-paralysis","text/html; charset=utf-8","200","OK","5","2"
"https://my.clevelandclinic.org/health/diseases/12119-insomnia","text/html; charset=utf-8","200","OK","5","4"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1559690/","text/html; charset=iso-8859-1","302","Found","5","3"
"https://cmha.ca/mental-health-what-is-it-really/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.thehappyhabit.com.au/","text/html; charset=utf-8","200","OK","5","4"
"https://www.nimh.nih.gov/health/topics/caring-for-your-mental-health","text/html; charset=UTF-8","200","OK","5","2"
"https://pubmed.ncbi.nlm.nih.gov/22398342/","text/html; charset=iso-8859-1","302","Found","5","4"
"https://www.youtube.com/channel/UCuCJm2HbsL7l9zOwQ3sgdQA","text/html; charset=utf-8","200","OK","3","36"
"https://shcs.ucdavis.edu/health-and-wellness/physical-activity","text/html; charset=UTF-8","200","OK","4","2"
"https://edsource.org/2019/revised-bill-proposes-later-school-start-times-for-california-middle-high-school-students/616181","text/html; charset=UTF-8","200","OK","5","2"
"https://www.tandfonline.com/doi/abs/10.1080/02646839208403946","text/html; charset=utf-8","302","Found","5","2"
"https://www.researchgate.net/publication/327439522_Effect_of_528_Hz_Music_on_the_Endocrine_System_and_Autonomic_Nervous_System","text/html; charset=utf-8","200","OK","4","8"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3800872/","text/html; charset=iso-8859-1","302","Found","5","3"
"https://www.livescience.com/53403-why-sound-of-water-helps-you-sleep.html","text/html; charset=utf-8","200","OK","5","4"
"https://journals.sagepub.com/doi/full/10.1177/1098612X19828131","text/html; charset=UTF-8","503","Service Temporarily Unavailable","5","4"
"https://www.jstage.jst.go.jp/article/indhealth1963/31/1/31_1_35/_article/-char/ja/","text/html;charset=utf-8","200","200","5","2"
"https://whatdreammeans.com/what-do-dream-about-a-baby-girl-mean/","text/html; charset=UTF-8","200","OK","5","2"
"https://scholarworks.utep.edu/cs_techrep/1340/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.webmd.com/vitamins/ai/ingredientmono-437/lemon-balm","text/html","200","OK","5","2"
"https://www.sciencedirect.com/science/article/abs/pii/S0191886904000352","text/html; charset=utf-8","200","OK","5","2"
"https://www.tandfonline.com/doi/abs/10.1080/10503307.2016.1169332?scroll=top&needAccess=true&journalCode=tpsr20","text/html; charset=utf-8","302","Found","5","2"
"https://www.proquest.com/openview/4ff918413d437dd05406e7c667256d5c/1?pq-origsite=gscholar&cbl=18750","text/html;charset=UTF-8","200","OK","5","4"
"https://www.heart.org/en/healthy-living/healthy-lifestyle/sleep/benefits-of-napping","text/html; charset=utf-8","200","OK","5","2"
"https://stanfordhealthcare.org/medical-conditions/sleep/nighttime-sleep-behaviors/sleep-paralysis.html","text/html;charset=utf-8","200","OK","5","2"
"https://www.ncbi.nlm.nih.gov/pubmed/19750924","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4217155/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.ncbi.nlm.nih.gov/pubmed/29493875","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.sciencedirect.com/science/article/pii/S0277953617306639","text/html; charset=utf-8","200","OK","5","2"
"https://pubmed.ncbi.nlm.nih.gov/10930181/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://health.clevelandclinic.org/why-you-should-limit-alcohol-before-bed-for-better-sleep/","text/html; charset=UTF-8","200","OK","5","4"
"https://www.housebeautiful.com/shopping/home-accessories/g32193468/softest-sheets/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.sleepfoundation.org/sleep-hygiene/sleeping-with-socks-on","text/html; charset=UTF-8","200","OK","5","2"
"https://care.diabetesjournals.org/content/early/2019/05/21/dc19-0596","text/html","403","Forbidden","5","2"
"https://www.hgtv.com/design/rooms/bedrooms/guide-to-buying-sheets","text/html; charset=UTF-8","200","OK","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4425165/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://pubmed.ncbi.nlm.nih.gov/24395196/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://psycnet.apa.org/record/2015-49334-001","text/html; charset=UTF-8","200","OK","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6074813/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473877/","text/html; charset=iso-8859-1","302","Found","5","2"
"https://www.sleephealthgroup.com.au/post/why-do-i-fall-asleep-quicker-when-it-s-raining","text/html; charset=UTF-8","200","OK","5","2"
"https://www.instagram.com/catanacomics/","text/html; charset=utf-8","302","Found","5","2"
"https://bettersleep.org/research/survey-sleep-positions/","text/html; charset=UTF-8","200","OK","5","2"
"https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/napping/art-20048319","text/html; charset=utf-8","200","OK","5","2"
"https://aacnjournals.org/ajcconline/article-abstract/1/1/91/5648/The-effects-of-ocean-sounds-on-sleep-after","text/html","403","Forbidden","5","3"
