date,variable,value
2021-12-23,insurance,60
2021-12-24,insurance,46
2021-12-25,insurance,28
2021-12-26,insurance,33
2021-12-27,insurance,48
2021-12-28,insurance,56
2021-12-29,insurance,81
2021-12-30,insurance,69
2021-12-31,insurance,59
2022-01-01,insurance,43
2022-01-02,insurance,51
2022-01-03,insurance,73
2022-01-04,insurance,87
2022-01-05,insurance,89
2022-01-06,insurance,89
2022-01-07,insurance,80
2022-01-08,insurance,68
2022-01-09,insurance,63
2022-01-10,insurance,87
2022-01-11,insurance,89
2022-01-12,insurance,95
2022-01-13,insurance,91
2022-01-14,insurance,84
2022-01-15,insurance,77
2022-01-16,insurance,70
2022-01-17,insurance,96
2022-01-18,insurance,87
2022-01-19,insurance,93
2022-01-20,insurance,85
2022-01-21,insurance,87
2022-01-22,insurance,64
2022-01-23,insurance,64
2022-01-24,insurance,94
2022-01-25,insurance,89
2022-01-26,insurance,98
2022-01-27,insurance,94
2022-01-28,insurance,95
2022-01-29,insurance,78
2022-01-30,insurance,79
2022-01-31,insurance,100
2022-02-01,insurance,96
2022-02-02,insurance,98
2022-02-03,insurance,97
2022-02-04,insurance,85
2022-02-05,insurance,67
2022-02-06,insurance,71
2022-02-07,insurance,97
2022-02-08,insurance,88
2022-02-09,insurance,96
2022-02-10,insurance,93
2022-02-11,insurance,82
2022-02-12,insurance,68
2022-02-13,insurance,66
2022-02-14,insurance,92
2022-02-15,insurance,91
2022-02-16,insurance,91
2022-02-17,insurance,96
2022-02-18,insurance,87
2022-02-19,insurance,73
2022-02-20,insurance,70
2022-02-21,insurance,98
2022-02-22,insurance,90
2022-02-23,insurance,95
2022-02-24,insurance,82
2022-02-25,insurance,81
2022-02-26,insurance,66
2022-02-27,insurance,64
2022-02-28,insurance,98
2022-03-01,insurance,90
2022-03-02,insurance,91
2022-03-03,insurance,89
2022-03-04,insurance,80
2022-03-05,insurance,64
2022-03-06,insurance,65
2022-03-07,insurance,92
2022-03-08,insurance,88
2022-03-09,insurance,93
2022-03-10,insurance,89
2022-03-11,insurance,89
2022-03-12,insurance,66
2022-03-13,insurance,66
2022-03-14,insurance,95
2022-03-15,insurance,87
2022-03-16,insurance,94
2022-03-17,insurance,82
2022-03-18,insurance,81
2022-03-19,insurance,66
2022-03-20,insurance,68
2022-03-21,insurance,0
2021-12-23,loan,58
2021-12-24,loan,47
2021-12-25,loan,30
2021-12-26,loan,34
2021-12-27,loan,53
2021-12-28,loan,57
2021-12-29,loan,71
2021-12-30,loan,67
2021-12-31,loan,61
2022-01-01,loan,52
2022-01-02,loan,54
2022-01-03,loan,70
2022-01-04,loan,92
2022-01-05,loan,88
2022-01-06,loan,89
2022-01-07,loan,81
2022-01-08,loan,73
2022-01-09,loan,71
2022-01-10,loan,89
2022-01-11,loan,89
2022-01-12,loan,89
2022-01-13,loan,91
2022-01-14,loan,79
2022-01-15,loan,68
2022-01-16,loan,68
2022-01-17,loan,96
2022-01-18,loan,87
2022-01-19,loan,87
2022-01-20,loan,93
2022-01-21,loan,75
2022-01-22,loan,67
2022-01-23,loan,69
2022-01-24,loan,90
2022-01-25,loan,85
2022-01-26,loan,93
2022-01-27,loan,88
2022-01-28,loan,88
2022-01-29,loan,79
2022-01-30,loan,77
2022-01-31,loan,97
2022-02-01,loan,96
2022-02-02,loan,92
2022-02-03,loan,98
2022-02-04,loan,93
2022-02-05,loan,79
2022-02-06,loan,75
2022-02-07,loan,90
2022-02-08,loan,90
2022-02-09,loan,90
2022-02-10,loan,91
2022-02-11,loan,77
2022-02-12,loan,67
2022-02-13,loan,66
2022-02-14,loan,83
2022-02-15,loan,86
2022-02-16,loan,89
2022-02-17,loan,83
2022-02-18,loan,73
2022-02-19,loan,67
2022-02-20,loan,66
2022-02-21,loan,85
2022-02-22,loan,82
2022-02-23,loan,98
2022-02-24,loan,100
2022-02-25,loan,78
2022-02-26,loan,60
2022-02-27,loan,66
2022-02-28,loan,84
2022-03-01,loan,83
2022-03-02,loan,82
2022-03-03,loan,81
2022-03-04,loan,79
2022-03-05,loan,63
2022-03-06,loan,68
2022-03-07,loan,90
2022-03-08,loan,83
2022-03-09,loan,87
2022-03-10,loan,91
2022-03-11,loan,76
2022-03-12,loan,76
2022-03-13,loan,65
2022-03-14,loan,87
2022-03-15,loan,85
2022-03-16,loan,84
2022-03-17,loan,84
2022-03-18,loan,78
2022-03-19,loan,62
2022-03-20,loan,67
2022-03-21,loan,0
2021-12-23,mortgage,43
2021-12-24,mortgage,32
2021-12-25,mortgage,25
2021-12-26,mortgage,31
2021-12-27,mortgage,48
2021-12-28,mortgage,53
2021-12-29,mortgage,60
2021-12-30,mortgage,56
2021-12-31,mortgage,49
2022-01-01,mortgage,43
2022-01-02,mortgage,55
2022-01-03,mortgage,60
2022-01-04,mortgage,84
2022-01-05,mortgage,79
2022-01-06,mortgage,78
2022-01-07,mortgage,71
2022-01-08,mortgage,62
2022-01-09,mortgage,59
2022-01-10,mortgage,73
2022-01-11,mortgage,79
2022-01-12,mortgage,74
2022-01-13,mortgage,74
2022-01-14,mortgage,64
2022-01-15,mortgage,57
2022-01-16,mortgage,61
2022-01-17,mortgage,81
2022-01-18,mortgage,74
2022-01-19,mortgage,78
2022-01-20,mortgage,73
2022-01-21,mortgage,63
2022-01-22,mortgage,62
2022-01-23,mortgage,57
2022-01-24,mortgage,79
2022-01-25,mortgage,78
2022-01-26,mortgage,73
2022-01-27,mortgage,77
2022-01-28,mortgage,72
2022-01-29,mortgage,59
2022-01-30,mortgage,55
2022-01-31,mortgage,76
2022-02-01,mortgage,86
2022-02-02,mortgage,79
2022-02-03,mortgage,100
2022-02-04,mortgage,75
2022-02-05,mortgage,61
2022-02-06,mortgage,62
2022-02-07,mortgage,85
2022-02-08,mortgage,73
2022-02-09,mortgage,70
2022-02-10,mortgage,65
2022-02-11,mortgage,64
2022-02-12,mortgage,51
2022-02-13,mortgage,57
2022-02-14,mortgage,64
2022-02-15,mortgage,71
2022-02-16,mortgage,72
2022-02-17,mortgage,63
2022-02-18,mortgage,55
2022-02-19,mortgage,51
2022-02-20,mortgage,53
2022-02-21,mortgage,70
2022-02-22,mortgage,72
2022-02-23,mortgage,63
2022-02-24,mortgage,56
2022-02-25,mortgage,48
2022-02-26,mortgage,46
2022-02-27,mortgage,46
2022-02-28,mortgage,67
