date,variable,value
2022-03-01,mortgage,61
2022-03-02,mortgage,69
2022-03-03,mortgage,62
2022-03-04,mortgage,59
2022-03-05,mortgage,49
2022-03-06,mortgage,54
2022-03-07,mortgage,71
2022-03-08,mortgage,59
2022-03-09,mortgage,65
2022-03-10,mortgage,60
2022-03-11,mortgage,62
2022-03-12,mortgage,47
2022-03-13,mortgage,50
2022-03-14,mortgage,62
2022-03-15,mortgage,69
2022-03-16,mortgage,67
2022-03-17,mortgage,85
2022-03-18,mortgage,61
2022-03-19,mortgage,50
2022-03-20,mortgage,52
2022-03-21,mortgage,0
2021-12-23,attorney,61
2021-12-24,attorney,42
2021-12-25,attorney,40
2021-12-26,attorney,43
2021-12-27,attorney,47
2021-12-28,attorney,56
2021-12-29,attorney,60
2021-12-30,attorney,63
2021-12-31,attorney,56
2022-01-01,attorney,44
2022-01-02,attorney,64
2022-01-03,attorney,55
2022-01-04,attorney,64
2022-01-05,attorney,63
2022-01-06,attorney,72
2022-01-07,attorney,76
2022-01-08,attorney,55
2022-01-09,attorney,55
2022-01-10,attorney,72
2022-01-11,attorney,88
2022-01-12,attorney,88
2022-01-13,attorney,69
2022-01-14,attorney,90
2022-01-15,attorney,59
2022-01-16,attorney,52
2022-01-17,attorney,79
2022-01-18,attorney,70
2022-01-19,attorney,71
2022-01-20,attorney,68
2022-01-21,attorney,69
2022-01-22,attorney,45
2022-01-23,attorney,48
2022-01-24,attorney,94
2022-01-25,attorney,88
2022-01-26,attorney,79
2022-01-27,attorney,86
2022-01-28,attorney,67
2022-01-29,attorney,60
2022-01-30,attorney,47
2022-01-31,attorney,69
2022-02-01,attorney,83
2022-02-02,attorney,86
2022-02-03,attorney,77
2022-02-04,attorney,82
2022-02-05,attorney,60
2022-02-06,attorney,63
2022-02-07,attorney,69
2022-02-08,attorney,83
2022-02-09,attorney,77
2022-02-10,attorney,89
2022-02-11,attorney,82
2022-02-12,attorney,51
2022-02-13,attorney,48
2022-02-14,attorney,75
2022-02-15,attorney,70
2022-02-16,attorney,100
2022-02-17,attorney,67
2022-02-18,attorney,61
2022-02-19,attorney,49
2022-02-20,attorney,61
2022-02-21,attorney,89
2022-02-22,attorney,79
2022-02-23,attorney,73
2022-02-24,attorney,66
2022-02-25,attorney,63
2022-02-26,attorney,53
2022-02-27,attorney,41
2022-02-28,attorney,73
2022-03-01,attorney,56
2022-03-02,attorney,68
2022-03-03,attorney,75
2022-03-04,attorney,67
2022-03-05,attorney,51
2022-03-06,attorney,54
2022-03-07,attorney,77
2022-03-08,attorney,74
2022-03-09,attorney,67
2022-03-10,attorney,74
2022-03-11,attorney,67
2022-03-12,attorney,52
2022-03-13,attorney,47
2022-03-14,attorney,70
2022-03-15,attorney,64
2022-03-16,attorney,69
2022-03-17,attorney,77
2022-03-18,attorney,79
2022-03-19,attorney,45
2022-03-20,attorney,61
2022-03-21,attorney,0
2021-12-23,credit,54
2021-12-24,credit,44
2021-12-25,credit,22
2021-12-26,credit,28
2021-12-27,credit,38
2021-12-28,credit,40
2021-12-29,credit,48
2021-12-30,credit,52
2021-12-31,credit,43
2022-01-01,credit,30
2022-01-02,credit,36
2022-01-03,credit,47
2022-01-04,credit,64
2022-01-05,credit,65
2022-01-06,credit,63
2022-01-07,credit,57
2022-01-08,credit,38
2022-01-09,credit,38
2022-01-10,credit,68
2022-01-11,credit,62
2022-01-12,credit,61
2022-01-13,credit,62
2022-01-14,credit,56
2022-01-15,credit,37
2022-01-16,credit,39
2022-01-17,credit,69
2022-01-18,credit,64
2022-01-19,credit,60
2022-01-20,credit,63
2022-01-21,credit,57
2022-01-22,credit,37
2022-01-23,credit,37
2022-01-24,credit,65
2022-01-25,credit,63
2022-01-26,credit,65
2022-01-27,credit,66
2022-01-28,credit,58
2022-01-29,credit,38
2022-01-30,credit,36
2022-01-31,credit,63
2022-02-01,credit,63
2022-02-02,credit,63
2022-02-03,credit,63
2022-02-04,credit,58
2022-02-05,credit,36
2022-02-06,credit,39
2022-02-07,credit,100
2022-02-08,credit,69
2022-02-09,credit,63
2022-02-10,credit,62
2022-02-11,credit,57
2022-02-12,credit,36
2022-02-13,credit,36
2022-02-14,credit,63
2022-02-15,credit,64
2022-02-16,credit,63
2022-02-17,credit,61
2022-02-18,credit,51
2022-02-19,credit,39
2022-02-20,credit,36
2022-02-21,credit,68
2022-02-22,credit,63
2022-02-23,credit,61
2022-02-24,credit,57
2022-02-25,credit,56
2022-02-26,credit,38
2022-02-27,credit,40
2022-02-28,credit,72
2022-03-01,credit,63
2022-03-02,credit,64
2022-03-03,credit,63
2022-03-04,credit,59
2022-03-05,credit,39
2022-03-06,credit,39
2022-03-07,credit,72
2022-03-08,credit,64
2022-03-09,credit,64
2022-03-10,credit,59
2022-03-11,credit,57
2022-03-12,credit,37
2022-03-13,credit,36
2022-03-14,credit,61
2022-03-15,credit,58
2022-03-16,credit,60
2022-03-17,credit,58
2022-03-18,credit,54
2022-03-19,credit,37
2022-03-20,credit,35
2022-03-21,credit,0
2021-12-23,lawyer,59
2021-12-24,lawyer,65
2021-12-25,lawyer,50
2021-12-26,lawyer,45
2021-12-27,lawyer,50
2021-12-28,lawyer,42
2021-12-29,lawyer,52
2021-12-30,lawyer,68
2021-12-31,lawyer,84
2022-01-01,lawyer,60
2022-01-02,lawyer,57
2022-01-03,lawyer,66
2022-01-04,lawyer,72
2022-01-05,lawyer,89
2022-01-06,lawyer,74
2022-01-07,lawyer,70
2022-01-08,lawyer,62
2022-01-09,lawyer,58
2022-01-10,lawyer,97
2022-01-11,lawyer,92
2022-01-12,lawyer,95
2022-01-13,lawyer,100
2022-01-14,lawyer,81
2022-01-15,lawyer,66
2022-01-16,lawyer,65
2022-01-17,lawyer,83
2022-01-18,lawyer,88
2022-01-19,lawyer,75
2022-01-20,lawyer,76
2022-01-21,lawyer,72
2022-01-22,lawyer,63
2022-01-23,lawyer,57
2022-01-24,lawyer,87
2022-01-25,lawyer,87
2022-01-26,lawyer,94
2022-01-27,lawyer,70
2022-01-28,lawyer,89
2022-01-29,lawyer,62
2022-01-30,lawyer,63
2022-01-31,lawyer,72
2022-02-01,lawyer,80
2022-02-02,lawyer,85
2022-02-03,lawyer,79
2022-02-04,lawyer,74
2022-02-05,lawyer,49
2022-02-06,lawyer,54
2022-02-07,lawyer,80
2022-02-08,lawyer,71
2022-02-09,lawyer,91
2022-02-10,lawyer,86
2022-02-11,lawyer,77
2022-02-12,lawyer,65
2022-02-13,lawyer,66
2022-02-14,lawyer,89
2022-02-15,lawyer,84
2022-02-16,lawyer,91
2022-02-17,lawyer,90
2022-02-18,lawyer,77
2022-02-19,lawyer,58
2022-02-20,lawyer,66
2022-02-21,lawyer,69
2022-02-22,lawyer,84
2022-02-23,lawyer,78
2022-02-24,lawyer,91
2022-02-25,lawyer,59
2022-02-26,lawyer,58
2022-02-27,lawyer,72
2022-02-28,lawyer,76
2022-03-01,lawyer,73
2022-03-02,lawyer,81
2022-03-03,lawyer,74
2022-03-04,lawyer,82
2022-03-05,lawyer,57
2022-03-06,lawyer,54
2022-03-07,lawyer,73
2022-03-08,lawyer,75
2022-03-09,lawyer,79
2022-03-10,lawyer,80
2022-03-11,lawyer,65
2022-03-12,lawyer,52
2022-03-13,lawyer,54
2022-03-14,lawyer,78
2022-03-15,lawyer,73
2022-03-16,lawyer,80
2022-03-17,lawyer,74
2022-03-18,lawyer,80
2022-03-19,lawyer,56
2022-03-20,lawyer,49
2022-03-21,lawyer,0
2021-12-23,donate,21
2021-12-24,donate,24
2021-12-25,donate,10
2021-12-26,donate,14
2021-12-27,donate,15
2021-12-28,donate,23
2021-12-29,donate,21
2021-12-30,donate,25
2021-12-31,donate,13
2022-01-01,donate,18
2022-01-02,donate,14
2022-01-03,donate,16
2022-01-04,donate,20
2022-01-05,donate,18
2022-01-06,donate,18
2022-01-07,donate,18
2022-01-08,donate,21
2022-01-09,donate,19
2022-01-10,donate,19
2022-01-11,donate,16
2022-01-12,donate,14
2022-01-13,donate,23
2022-01-14,donate,15
2022-01-15,donate,17
2022-01-16,donate,17
2022-01-17,donate,18
2022-01-18,donate,18
2022-01-19,donate,18
2022-01-20,donate,16
2022-01-21,donate,15
2022-01-22,donate,13
2022-01-23,donate,22
2022-01-24,donate,17
2022-01-25,donate,18
2022-01-26,donate,18
2022-01-27,donate,16
2022-01-28,donate,14
2022-01-29,donate,14
2022-01-30,donate,16
2022-01-31,donate,14
2022-02-01,donate,19
2022-02-02,donate,12
2022-02-03,donate,13
2022-02-04,donate,16
2022-02-05,donate,15
2022-02-06,donate,17
2022-02-07,donate,15
2022-02-08,donate,18
2022-02-09,donate,15
2022-02-10,donate,19
2022-02-11,donate,13
2022-02-12,donate,15
2022-02-13,donate,14
2022-02-14,donate,14
2022-02-15,donate,17
2022-02-16,donate,19
2022-02-17,donate,16
2022-02-18,donate,12
2022-02-19,donate,14
2022-02-20,donate,17
2022-02-21,donate,14
2022-02-22,donate,13
2022-02-23,donate,15
2022-02-24,donate,24
2022-02-25,donate,29
2022-02-26,donate,45
2022-02-27,donate,44
2022-02-28,donate,62
2022-03-01,donate,83
2022-03-02,donate,75
2022-03-03,donate,100
2022-03-04,donate,72
2022-03-05,donate,62
2022-03-06,donate,52
2022-03-07,donate,45
2022-03-08,donate,42
2022-03-09,donate,39
2022-03-10,donate,32
2022-03-11,donate,40
2022-03-12,donate,36
2022-03-13,donate,31
2022-03-14,donate,34
2022-03-15,donate,28
2022-03-16,donate,22
2022-03-17,donate,22
2022-03-18,donate,31
2022-03-19,donate,25
2022-03-20,donate,23
2022-03-21,donate,0
2021-12-23,degree,53
2021-12-24,degree,41
2021-12-25,degree,44
2021-12-26,degree,54
2021-12-27,degree,61
2021-12-28,degree,62
2021-12-29,degree,64
2021-12-30,degree,64
2021-12-31,degree,47
2022-01-01,degree,53
2022-01-02,degree,72
2022-01-03,degree,80
2022-01-04,degree,80
2022-01-05,degree,81
2022-01-06,degree,90
2022-01-07,degree,81
2022-01-08,degree,69
2022-01-09,degree,80
2022-01-10,degree,85
2022-01-11,degree,100
2022-01-12,degree,93
2022-01-13,degree,93
2022-01-14,degree,68
2022-01-15,degree,75
2022-01-16,degree,74
2022-01-17,degree,91
2022-01-18,degree,89
2022-01-19,degree,90
2022-01-20,degree,94
2022-01-21,degree,84
2022-01-22,degree,75
2022-01-23,degree,81
2022-01-24,degree,89
2022-01-25,degree,91
2022-01-26,degree,86
2022-01-27,degree,87
2022-01-28,degree,69
2022-01-29,degree,61
2022-01-30,degree,67
2022-01-31,degree,80
2022-02-01,degree,82
2022-02-02,degree,87
2022-02-03,degree,93
2022-02-04,degree,80
2022-02-05,degree,60
2022-02-06,degree,77
2022-02-07,degree,95
2022-02-08,degree,88
2022-02-09,degree,87
2022-02-10,degree,88
2022-02-11,degree,77
2022-02-12,degree,61
2022-02-13,degree,61
2022-02-14,degree,74
2022-02-15,degree,76
2022-02-16,degree,78
2022-02-17,degree,73
2022-02-18,degree,67
2022-02-19,degree,60
2022-02-20,degree,67
2022-02-21,degree,81
2022-02-22,degree,74
2022-02-23,degree,86
2022-02-24,degree,81
2022-02-25,degree,67
2022-02-26,degree,56
2022-02-27,degree,59
2022-02-28,degree,80
2022-03-01,degree,68
2022-03-02,degree,77
2022-03-03,degree,82
2022-03-04,degree,65
2022-03-05,degree,53
2022-03-06,degree,74
2022-03-07,degree,76
2022-03-08,degree,76
2022-03-09,degree,71
2022-03-10,degree,84
2022-03-11,degree,64
2022-03-12,degree,66
2022-03-13,degree,69
2022-03-14,degree,71
2022-03-15,degree,92
2022-03-16,degree,83
2022-03-17,degree,82
2022-03-18,degree,68
2022-03-19,degree,59
2022-03-20,degree,62
2022-03-21,degree,0
2021-12-23,hosting,29
2021-12-24,hosting,28
2021-12-25,hosting,23
2021-12-26,hosting,22
2021-12-27,hosting,34
2021-12-28,hosting,30
2021-12-29,hosting,32
2021-12-30,hosting,42
2021-12-31,hosting,36
2022-01-01,hosting,31
2022-01-02,hosting,23
2022-01-03,hosting,29
2022-01-04,hosting,32
2022-01-05,hosting,45
2022-01-06,hosting,36
2022-01-07,hosting,27
2022-01-08,hosting,30
2022-01-09,hosting,36
2022-01-10,hosting,37
2022-01-11,hosting,45
2022-01-12,hosting,38
2022-01-13,hosting,44
2022-01-14,hosting,45
2022-01-15,hosting,33
2022-01-16,hosting,35
2022-01-17,hosting,55
2022-01-18,hosting,38
2022-01-19,hosting,33
2022-01-20,hosting,46
2022-01-21,hosting,56
2022-01-22,hosting,30
2022-01-23,hosting,44
2022-01-24,hosting,43
2022-01-25,hosting,41
2022-01-26,hosting,46
2022-01-27,hosting,49
2022-01-28,hosting,42
2022-01-29,hosting,47
2022-01-30,hosting,22
2022-01-31,hosting,39
2022-02-01,hosting,38
2022-02-02,hosting,49
2022-02-03,hosting,50
2022-02-04,hosting,53
2022-02-05,hosting,25
2022-02-06,hosting,40
2022-02-07,hosting,48
2022-02-08,hosting,78
2022-02-09,hosting,44
2022-02-10,hosting,41
2022-02-11,hosting,51
2022-02-12,hosting,34
2022-02-13,hosting,27
2022-02-14,hosting,49
2022-02-15,hosting,50
2022-02-16,hosting,39
2022-02-17,hosting,44
2022-02-18,hosting,36
2022-02-19,hosting,30
2022-02-20,hosting,31
2022-02-21,hosting,33
2022-02-22,hosting,47
2022-02-23,hosting,49
2022-02-24,hosting,34
2022-02-25,hosting,46
2022-02-26,hosting,28
2022-02-27,hosting,48
2022-02-28,hosting,51
2022-03-01,hosting,42
2022-03-02,hosting,45
2022-03-03,hosting,44
2022-03-04,hosting,52
2022-03-05,hosting,31
2022-03-06,hosting,32
2022-03-07,hosting,45
2022-03-08,hosting,45
2022-03-09,hosting,42
2022-03-10,hosting,38
2022-03-11,hosting,57
2022-03-12,hosting,39
2022-03-13,hosting,98
2022-03-14,hosting,100
2022-03-15,hosting,70
2022-03-16,hosting,40
2022-03-17,hosting,50
2022-03-18,hosting,53
2022-03-19,hosting,42
2022-03-20,hosting,40
2022-03-21,hosting,0
2021-12-23,hosting,29
2021-12-24,hosting,28
2021-12-25,hosting,23
2021-12-26,hosting,22
2021-12-27,hosting,34
2021-12-28,hosting,30
2021-12-29,hosting,32
2021-12-30,hosting,42
2021-12-31,hosting,36
2022-01-01,hosting,31
2022-01-02,hosting,23
2022-01-03,hosting,29
2022-01-04,hosting,32
2022-01-05,hosting,45
2022-01-06,hosting,36
2022-01-07,hosting,27
2022-01-08,hosting,30
2022-01-09,hosting,36
2022-01-10,hosting,37
2022-01-11,hosting,45
2022-01-12,hosting,38
2022-01-13,hosting,44
2022-01-14,hosting,45
2022-01-15,hosting,33
2022-01-16,hosting,35
2022-01-17,hosting,55
2022-01-18,hosting,38
2022-01-19,hosting,33
2022-01-20,hosting,46
2022-01-21,hosting,56
2022-01-22,hosting,30
2022-01-23,hosting,44
2022-01-24,hosting,43
2022-01-25,hosting,41
2022-01-26,hosting,46
2022-01-27,hosting,49
2022-01-28,hosting,42
2022-01-29,hosting,47
2022-01-30,hosting,22
2022-01-31,hosting,39
2022-02-01,hosting,38
2022-02-02,hosting,49
2022-02-03,hosting,50
2022-02-04,hosting,53
2022-02-05,hosting,25
2022-02-06,hosting,40
2022-02-07,hosting,48
2022-02-08,hosting,78
2022-02-09,hosting,44
2022-02-10,hosting,41
2022-02-11,hosting,51
2022-02-12,hosting,34
2022-02-13,hosting,27
2022-02-14,hosting,49
2022-02-15,hosting,50
2022-02-16,hosting,39
2022-02-17,hosting,44
2022-02-18,hosting,36
2022-02-19,hosting,30
2022-02-20,hosting,31
2022-02-21,hosting,33
2022-02-22,hosting,47
2022-02-23,hosting,49
2022-02-24,hosting,34
2022-02-25,hosting,46
2022-02-26,hosting,28
2022-02-27,hosting,48
2022-02-28,hosting,51
2022-03-01,hosting,42
2022-03-02,hosting,45
2022-03-03,hosting,44
2022-03-04,hosting,52
2022-03-05,hosting,31
2022-03-06,hosting,32
2022-03-07,hosting,45
2022-03-08,hosting,45
2022-03-09,hosting,42
2022-03-10,hosting,38
2022-03-11,hosting,57
2022-03-12,hosting,39
2022-03-13,hosting,98
2022-03-14,hosting,100
2022-03-15,hosting,70
2022-03-16,hosting,40
2022-03-17,hosting,50
2022-03-18,hosting,53
2022-03-19,hosting,42
2022-03-20,hosting,40
2022-03-21,hosting,0
2021-12-23,claim,68
2021-12-24,claim,39
2021-12-25,claim,24
2021-12-26,claim,31
2021-12-27,claim,46
2021-12-28,claim,53
2021-12-29,claim,63
2021-12-30,claim,63
2021-12-31,claim,53
2022-01-01,claim,38
2022-01-02,claim,49
2022-01-03,claim,58
2022-01-04,claim,95
2022-01-05,claim,89
2022-01-06,claim,81
2022-01-07,claim,79
2022-01-08,claim,62
2022-01-09,claim,67
2022-01-10,claim,84
2022-01-11,claim,90
2022-01-12,claim,86
2022-01-13,claim,85
2022-01-14,claim,78
2022-01-15,claim,59
2022-01-16,claim,58
2022-01-17,claim,87
2022-01-18,claim,84
2022-01-19,claim,90
2022-01-20,claim,94
2022-01-21,claim,88
2022-01-22,claim,59
2022-01-23,claim,56
2022-01-24,claim,94
2022-01-25,claim,98
2022-01-26,claim,82
2022-01-27,claim,93
2022-01-28,claim,83
2022-01-29,claim,58
2022-01-30,claim,71
2022-01-31,claim,96
2022-02-01,claim,90
2022-02-02,claim,89
2022-02-03,claim,98
2022-02-04,claim,81
2022-02-05,claim,50
2022-02-06,claim,58
2022-02-07,claim,87
2022-02-08,claim,87
2022-02-09,claim,83
2022-02-10,claim,86
2022-02-11,claim,71
2022-02-12,claim,54
2022-02-13,claim,48
2022-02-14,claim,75
2022-02-15,claim,85
2022-02-16,claim,79
2022-02-17,claim,79
2022-02-18,claim,82
2022-02-19,claim,59
2022-02-20,claim,56
2022-02-21,claim,100
2022-02-22,claim,95
2022-02-23,claim,82
2022-02-24,claim,75
2022-02-25,claim,79
2022-02-26,claim,52
2022-02-27,claim,51
2022-02-28,claim,85
2022-03-01,claim,86
2022-03-02,claim,78
2022-03-03,claim,84
2022-03-04,claim,71
2022-03-05,claim,52
2022-03-06,claim,50
2022-03-07,claim,82
2022-03-08,claim,87
2022-03-09,claim,93
2022-03-10,claim,85
2022-03-11,claim,83
2022-03-12,claim,53
2022-03-13,claim,56
2022-03-14,claim,90
2022-03-15,claim,86
2022-03-16,claim,85
2022-03-17,claim,79
2022-03-18,claim,73
2022-03-19,claim,57
2022-03-20,claim,59
2022-03-21,claim,0
2021-12-23,conference call,32
2021-12-24,conference call,0
2021-12-25,conference call,0
2021-12-26,conference call,47
2021-12-27,conference call,15
2021-12-28,conference call,15
2021-12-29,conference call,42
2021-12-30,conference call,59
2021-12-31,conference call,63
2022-01-01,conference call,0
2022-01-02,conference call,0
2022-01-03,conference call,0
2022-01-04,conference call,14
2022-01-05,conference call,54
2022-01-06,conference call,27
2022-01-07,conference call,55
2022-01-08,conference call,44
2022-01-09,conference call,29
2022-01-10,conference call,26
2022-01-11,conference call,40
2022-01-12,conference call,41
2022-01-13,conference call,70
2022-01-14,conference call,14
2022-01-15,conference call,0
2022-01-16,conference call,0
2022-01-17,conference call,42
2022-01-18,conference call,41
2022-01-19,conference call,53
2022-01-20,conference call,80
2022-01-21,conference call,0
2022-01-22,conference call,16
2022-01-23,conference call,15
2022-01-24,conference call,26
2022-01-25,conference call,26
2022-01-26,conference call,85
2022-01-27,conference call,14
2022-01-28,conference call,43
2022-01-29,conference call,0
2022-01-30,conference call,30
2022-01-31,conference call,27
2022-02-01,conference call,84
2022-02-02,conference call,42
2022-02-03,conference call,0
2022-02-04,conference call,44
2022-02-05,conference call,15
2022-02-06,conference call,15
2022-02-07,conference call,71
2022-02-08,conference call,27
2022-02-09,conference call,14
2022-02-10,conference call,29
2022-02-11,conference call,45
2022-02-12,conference call,46
2022-02-13,conference call,0
2022-02-14,conference call,28
2022-02-15,conference call,56
2022-02-16,conference call,28
2022-02-17,conference call,70
2022-02-18,conference call,0
2022-02-19,conference call,31
2022-02-20,conference call,29
2022-02-21,conference call,28
2022-02-22,conference call,42
2022-02-23,conference call,41
2022-02-24,conference call,14
2022-02-25,conference call,42
2022-02-26,conference call,47
2022-02-27,conference call,31
2022-02-28,conference call,40
2022-03-01,conference call,41
2022-03-02,conference call,41
2022-03-03,conference call,27
2022-03-04,conference call,59
2022-03-05,conference call,16
2022-03-06,conference call,32
2022-03-07,conference call,57
2022-03-08,conference call,100
2022-03-09,conference call,71
2022-03-10,conference call,28
2022-03-11,conference call,44
2022-03-12,conference call,15
2022-03-13,conference call,30
2022-03-14,conference call,83
2022-03-15,conference call,27
2022-03-16,conference call,91
2022-03-17,conference call,55
2022-03-18,conference call,0
2022-03-19,conference call,16
2022-03-20,conference call,47
2022-03-21,conference call,0
2021-12-23,Trading,86
2021-12-24,Trading,79
2021-12-25,Trading,68
2021-12-26,Trading,61
2021-12-27,Trading,69
2021-12-28,Trading,81
2021-12-29,Trading,76
2021-12-30,Trading,74
2021-12-31,Trading,69
2022-01-01,Trading,58
2022-01-02,Trading,58
2022-01-03,Trading,77
2022-01-04,Trading,91
2022-01-05,Trading,93
2022-01-06,Trading,85
2022-01-07,Trading,88
2022-01-08,Trading,64
2022-01-09,Trading,67
2022-01-10,Trading,95
2022-01-11,Trading,91
2022-01-12,Trading,100
2022-01-13,Trading,91
2022-01-14,Trading,83
2022-01-15,Trading,65
2022-01-16,Trading,64
2022-01-17,Trading,90
2022-01-18,Trading,86
2022-01-19,Trading,85
