keyword_phrases,clicks,cost,transactions,bounce_rate
cloudbolt,511,"$1,321.15 ",6.0,66.67%
hybrid cloud,176,"$2,084.96 ",4.0,90.18%
multicloud,62,$377.71 ,1.0,93.33%
