keyword_phrases,clicks,cost,cpc,users,sessions,bounce_rate_x,pages,form_completon_rate,form_completon,form_completon_val,bad_to_ok_keywords,bounce_rate_y,bounce_rate_avg,category
vra links,70,$514.57 ,$7.35 ,33,35,97.14,1.06,0.00%,0,$0.00 , vra,188.75,94,ok
vra,160,"$1,048.24 ",$6.55 ,130,143,91.61,1.21,0.00%,0,$0.00 , vra,188.75,94,ok
